Component	Percentile Rank	# Compatible Public Results	Nodes Per Second (Average)
AMD Ryzen 9 7900 12-Core	47th	9	29125130 +/- 1383107
AMD Ryzen 7 9800X3D 8-Core	46th	6	28009863 +/- 201725
AMD Ryzen 9 5900X 12-Core	45th	7	25257301 +/- 1791384
Intel Xeon Gold 5416S	44th	4	24698222 +/- 1021904
Intel Core i9-10980XE	44th	3	24307311 +/- 577289
Intel Core Ultra 5 245K	44th	5	24223968 +/- 259955
Intel Core i5-14600K	44th	5	24194616
AMD Ryzen 7 7700X 8-Core	42nd	5	23730452 +/- 800625
AMD Ryzen 7 7800X3D 8-Core	41st	5	23138694
AMD EPYC 4364P 8-Core	41st	4	23015665 +/- 256386
AMD Ryzen 7 9700X 8-Core	41st	10	22830103 +/- 1507969
Intel Core i5-13600K	41st	5	22770461 +/- 844763
AMD EPYC 4344P 8-Core	40th	3	21844343
AMD Ryzen 7 7700 8-Core	39th	5	21823261 +/- 858049
AmpereOne 32-Core	39th	3	21721077
AMD Ryzen 7 8845HS	38th	5	19325806 +/- 1763604
Apple M3 Max	38th	3	19265001 +/- 1156732
AMD Ryzen 5 9600X 6-Core	37th	10	18615958 +/- 911675
AMD Ryzen 7 8700G	36th	5	18351903
AMD EPYC 7551 32-Core	34th	3	17561774 +/- 1550313
AMD Ryzen 7 5800X 8-Core	34th	6	17555106 +/- 125814
Intel Xeon E E-2488	33rd	8	17086129 +/- 330318
AMD EPYC 4244P 6-Core	31st	3	16614517
AMD Ryzen 7 5800X3D 8-Core	31st	5	16502192
AMD Ryzen 5 7600 6-Core	30th	10	16377929 +/- 497126
AMD EPYC 7F32 8-Core	28th	3	15350934 +/- 401834
AMD Ryzen 7 7840HS	28th	16	15300575 +/- 2106698
AMD Ryzen 5 8600G	28th	5	15151817 +/- 597556
AMD Ryzen 5 8400F 6-Core	27th	7	15015134 +/- 22540
AMD Ryzen 7 3800XT 8-Core	27th	4	14914327 +/- 790869
Low-Tier	25th		< 14312807
AMD Ryzen 7 5700G	24th	8	13833022 +/- 673905
2 x Intel Xeon E5-2687W 0	23rd	6	13684159 +/- 172669
Intel Xeon Silver 4216	23rd	4	13489044 +/- 567847
AMD Ryzen AI 9 HX 370	23rd	13	13477021 +/- 703057
Intel Core i5-13400	22nd	3	13298589
AMD Ryzen AI 9 365	20th	8	12942566 +/- 1541765
AMD Ryzen 5 5600X 6-Core	19th	6	11942108 +/- 930647
AMD Ryzen 9 5900HX	19th	6	11802686 +/- 917310
AMD EPYC 4124P 4-Core	17th	3	10622485
2 x Intel Xeon E5-2650 0	16th	4	10195110 +/- 328849
AMD Ryzen 5 5500	15th	5	9405304
AMD Ryzen 7 PRO 6850U	14th	5	8728940 +/- 1056739
Intel Core i7-5960X	13th	4	8354213 +/- 218544
Intel Core i3-14100	13th	5	8054472
AMD Ryzen 7 PRO 5850U	12th	5	7479147 +/- 197590
Intel Core Ultra 7 165U	12th	4	7284809
AMD Ryzen 5 5500U	9th	6	6006333 +/- 86146
AMD Ryzen 7 4700U	9th	6	5696487 +/- 118023
Intel Core i7-1185G7	8th	6	5229658 +/- 55786
Intel Core i7-1165G7	7th	4	5005468 +/- 113950
Intel Xeon E3-1280 v5	6th	5	4734500 +/- 138359
Intel Core i7-8565U	5th	4	3321246 +/- 158712
Intel Core i7-1065G7	4th	4	2853788 +/- 105359
ARMv8 Cortex-A72 16-Core	3rd	3	2493057
