Component	Percentile Rank	# Compatible Public Results	Figure Of Merit (Average)
Intel Core i5-8400	24th	4	246553900 +/- 716069
AMD Ryzen 5 5600G	24th	6	244561465 +/- 27068141
AMD Ryzen 7 2700 Eight-Core	24th	3	243082778 +/- 266992
AMD Ryzen 9 5900X 12-Core	23rd	25	242102146 +/- 30313025
AMD Ryzen 5 5600X 6-Core	23rd	12	240743986 +/- 5554041
AMD Ryzen 7 5800X3D 8-Core	23rd	24	238727821 +/- 10298232
Intel Core i7-7740K	23rd	3	238007622 +/- 162996
AMD Ryzen 3 1300X	23rd	4	237986767 +/- 418006
Intel Core i9-9900K	22nd	3	237654867 +/- 751457
Intel Core i7-7700K	21st	3	235333311 +/- 2079203
AMD Ryzen 3 3300X 4-Core	21st	4	233163734 +/- 813752
AMD Ryzen 7 5800X 8-Core	20th	41	231005706 +/- 18313780
Intel Core i7-8700K	20th	4	229241400 +/- 14297992
AMD Ryzen 5 PRO 6650U	20th	3	229130778 +/- 2743104
AMD Ryzen 9 3900X 12-Core	20th	6	228039844 +/- 3571727
Intel Core i7-8809G	20th	3	227477644 +/- 679877
AMD Ryzen 9 3900XT 12-Core	19th	5	226168327 +/- 1992356
Intel Core i7-9750H	19th	3	223806567 +/- 721385
AMD Ryzen 7 2700X Eight-Core	18th	8	222757938 +/- 27025525
AMD Ryzen 5 3600XT 6-Core	18th	4	220614875 +/- 2185702
AMD Ryzen 7 3700X 8-Core	18th	8	220546108 +/- 28283302
Intel Core i7-10700T	18th	6	220091603 +/- 4751741
Intel Xeon E-2288G	18th	5	219070386 +/- 1261759
AMD Ryzen 3 2200G	17th	7	216598900 +/- 2523539
Intel Core i9-10900K	17th	9	216473059 +/- 13476639
POWER9 4-Core	15th	3	209472389 +/- 3603515
AMD Ryzen 5 3400G	15th	3	207741622 +/- 440764
Intel Core i9-10885H	15th	3	207595755 +/- 322435
Intel Core i5-9400F	14th	3	204743878 +/- 442892
AMD Ryzen 9 3950X 16-Core	14th	7	203672024 +/- 5710117
AMD Ryzen 5 2400G	14th	4	203569750 +/- 434216
Intel Core i7-7700	14th	3	198146522 +/- 4724594
Intel Xeon E3-1275 v6	13th	3	197562133 +/- 381888
Intel Xeon E-2336	13th	5	192786180 +/- 220110
Intel Xeon E-2388G	13th	10	191352370 +/- 983967
AMD Ryzen 7 3800XT 8-Core	12th	3	190316985 +/- 7464124
AMD Ryzen 5 4500U	12th	3	187221278 +/- 241355
Intel Core i7-5960X	12th	3	186625533 +/- 406872
Intel Xeon E3-1245 v5	11th	3	183000056 +/- 50045
Intel Xeon E3-1260L v5	11th	4	180621467 +/- 59054
Intel Core i5-6500	11th	3	178855800 +/- 428648
