Component	Percentile Rank	# Compatible Public Results	Milliseconds (Average)
AMD EPYC 7702 64-Core	50th	23	1179 +/- 11
AMD EPYC 7502P 32-Core	50th	12	1179 +/- 14
AMD EPYC 7452 32-Core	49th	7	1181 +/- 18
AMD EPYC 7742 64-Core	49th	12	1182 +/- 21
Intel Core i7-7700	49th	14	1190 +/- 170
AMD EPYC 7552 48-Core	48th	10	1194 +/- 15
AMD EPYC 7532 32-Core	48th	10	1197 +/- 16
2 x Intel Xeon Gold 6248R	48th	10	1198 +/- 47
AMD EPYC 7662 64-Core	48th	10	1199 +/- 13
AMD Ryzen Threadripper 2920X 12-Core	48th	5	1199 +/- 101
Intel Core i5-8600K	47th	19	1206 +/- 2
AMD EPYC 7502 32-Core	47th	8	1208 +/- 14
2 x AMD EPYC 7402 24-Core	47th	4	1211
AMD EPYC 7302 16-Core	46th	6	1216 +/- 12
AMD EPYC 7272 12-Core	46th	8	1225 +/- 20
AMD EPYC 7642 48-Core	46th	21	1225 +/- 35
Intel Pentium G4400	45th	17	1229 +/- 28
AMD EPYC 7282 16-Core	45th	11	1231 +/- 15
Intel Core i7-8700B	45th	20	1235 +/- 142
AMD EPYC 7232P 8-Core	45th	10	1236 +/- 21
AMD Ryzen 5 2600 Six-Core	45th	13	1239 +/- 135
Intel Core i7-4790	45th	5	1241 +/- 141
2 x AMD EPYC 7502 32-Core	45th	6	1244 +/- 73
2 x AMD EPYC 7742 64-Core	44th	37	1247 +/- 153
AmpereOne 192-Core	44th	9	1247 +/- 66
2 x Intel Xeon Platinum 8259L	44th	5	1252 +/- 1
Intel Core i7-4770K	44th	7	1257 +/- 84
AMD EPYC 7352 24-Core	43rd	6	1261 +/- 5
AMD Ryzen 7 1800X Eight-Core	42nd	12	1282 +/- 186
Intel Xeon E5-2687W v3	42nd	5	1299 +/- 42
Intel Core i7-8559U	41st	5	1306 +/- 191
AMD Ryzen 7 2700 Eight-Core	41st	9	1307 +/- 188
Intel Xeon E5-1680 v3	41st	8	1310 +/- 174
Ampere Altra ARMv8 Neoverse-N1 160-Core	41st	10	1315 +/- 44
Intel Core i7-9850H	41st	8	1317 +/- 13
Intel Core i3-8100	41st	16	1322 +/- 125
Intel Xeon Silver 4216	41st	8	1322 +/- 72
Intel Core i3-4130	40th	9	1328 +/- 43
Intel Xeon E3-1235L v5	40th	21	1330 +/- 7
Intel Xeon Silver 4108	39th	29	1348 +/- 33
Intel Core i7-5775C	39th	7	1354 +/- 179
AMD Ryzen 5 3500U	39th	13	1367 +/- 84
Intel Core i5-3550	38th	5	1381 +/- 3
Intel Core i7-6700K	37th	20	1404 +/- 36
Intel Core i5-3570K	37th	10	1411 +/- 189
Intel Core i5-8250U	37th	20	1423 +/- 132
Intel Core i5-6500T	36th	4	1431 +/- 71
AMD Athlon 3000G	36th	17	1440 +/- 174
Intel Core i7-5820K	36th	10	1442 +/- 186
