Model and Mult,FinanceBench,amg,hpcg,linux_kernel,miniFE,nqueens,numenta_nab,numpy,nwchem,openfoam,openradioss,pybench,specfem3d,stockfish,tensorflow
Intel Core i7-4770K x 1,,0.006420846611533576,,,,,,0.0021704897337955858,,,,0.025257769079375565,,,
Intel Core i7-4790 x 1,,0.004298542034472148,,,,,,,,,,0.05081153663617572,,,
Intel Core i7-4790K x 1,0.03086759967639633,0.0051851601171083355,,,,0.03724840446384683,,0.006398876026079358,,,,0.05441511868226228,,,
Intel Core i7-4960X x 1,,0.0009630014579465172,,,,,0.5773502691896258,0.013513513513513514,,,,,,,
Intel Core i7-5500U x 1,,,,,,,,0.002802671209658378,,,,,,,
Intel Core i7-5557U x 1,,,,,,0.005590169943749474,,,,,,,,,
Intel Core i7-5600U x 1,,0.000927142505827878,,,,,,0.05935376599145686,,,,0.03146138343233344,,,
Intel Core i7-5820K x 1,,,,,,,,,,,,0.04078943445154775,,,
Intel Core i7-5960X x 1,,0.0012587112542940277,0.5773502691896258,,0.01316872427983539,0.023537557657892522,0.005905694890769175,0.0033374148917907306,,,0.008522727272727272,0.0273692530905727,,0.013079867606918809,0.011366851510791295
Intel Core i7-6500U x 1,,,,,,0.05392156862745098,,,,,,,,,
Intel Core i7-6700 x 1,0.0008897799971860413,,,,,0.015604061329449347,,0.044585987261146494,,,,,,,
Intel Core i7-6700HQ x 1,,,,,,,,0.034269241034479536,,,,,,,
Intel Core i7-6700K x 1,,,,,,0.04446640858932085,,,,,,0.005733507634614845,,,
Intel Core i7-6800K x 1,0.002906351575669254,0.0035666599937658654,,,,0.010279278535093247,,,,,,,,,
Intel Core i7-7700 x 1,,0.01376630581339041,,,,0.02290693775813498,,0.05504587155963303,,,,0.038180177416060626,,,0.031219673501416023
Intel Core i7-7700K x 1,0.0006468487802174937,0.005100971072258774,,,,0.0218088114494371,,,,,,0.02809633698708547,,,
Intel Core i7-7740K x 1,,0.00039538979334381247,,,,,,0.008,,,,,,,
Intel Core i7-7900X x 1,0.005682494844102888,0.004585944140956124,,,,,,0.004143646408839779,,,,0.012516203964476755,,,
Intel Core i7-8086K x 1,,0.0015861060065289665,,,,0.027492869961410753,,0.030892448512585814,,,,0.02274561603284338,,,
Intel Core i7-8550U x 1,,0.00022706961554786243,,,0.00937651564999693,0.03,,0.007047575892224726,,,,,,,
Intel Core i7-8559U x 1,,,,,,,,,,,,0.06540413226683918,,,
Intel Core i7-8565U x 1,0.01955473622694812,0.019409852123235326,,0.002850107111655417,,0.03278716060281411,0.011764705882352941,0.021739130434782608,,,,,0.003,0.023893442400833905,0.03443616427358579
Intel Core i7-8700 x 1,,,,,,,,,,,,0.06645510437803114,,,
Intel Core i7-8700B x 1,,,,,,,,0.02077815165757532,,,,0.025710255287851834,,,
Intel Core i7-8700K x 1,0.001928959702961352,0.03118544905065141,,,,0.024590370452110582,0.011782658554890323,0.014962593516209476,,,,0.018291778878175433,,,0.002485008332236553
Intel Core i7-8809G x 1,,0.0017255637172232856,,,,,,,,,,,,,
Intel Core i7-9700TE x 1,,,,,,,0.5,0.024212201030252498,,,,,,,
Intel Core i7-9750H x 1,0.07401514231345399,0.0018609455009394708,,,,0.014907119849998597,0.056788551067832045,0.009353991048233229,,,,0.027919254735494337,,,
Intel Core i7-9850H x 1,,,,,,,,,,,,0.0034898967940110545,,,
Intel Core i9-10850K x 1,,,,,,,,,,,,0.03986064277523167,,,
Intel Core i9-10885H x 1,,0.0008967328548994511,,,0.0010620377451177297,,,,,,,,,,
Intel Core i9-10900K x 1,0.0038832568066994684,0.020751834065411347,,0.5773502691896257,0.004314507531910248,0.242535625036333,0.014705882352941176,0.0171616955383731,,,,,,,0.011844639925510471
Intel Core i9-10900KF x 1,,,,,,,,0.00214628352858597,,,,,,,
Intel Core i9-10980XE x 1,,0.0022668762838487923,0.4082482904638631,0.000699864781690075,0.01180934346779378,0.037688918072220454,0.020833333333333332,0.013086606101631516,,,0.5773502691896257,,0.004347826086956522,0.013711840011847047,
Intel Core i9-11900K x 1,0.0081680715727776,,,0.022140963421922163,,0.2581988897471611,,0.027591699402637494,,0.0017143795110701541,,0.016716576052662035,,,0.003426456170934417
Intel Core i9-11980HK x 1,,0.014400085842215379,,,,,,,,,,,,,
Intel Core i9-12900H x 1,,0.0025249569748087945,,,,,,,,,,,,,
Intel Core i9-12900K x 1,0.011696327627629214,,,0.016473301938851322,,0.033501260508640406,,0.011005244586657125,0.03458338842484425,,,,,,
Intel Core i9-13900K x 1,0.00196078431372549,0.009654400637700792,0.408248290463863,,,0.25819888974716115,0.02401460532140371,0.006741485371988541,,0.004411255558030909,,0.014369890549520554,0.5773502691896257,0.035680793602551254,
Intel Core i9-14900K x 1,0.007854553841462657,,0.2773500981126146,,,0.5773502691896258,,0.02018530556746842,,0.0054775280898876405,0.01316929969238268,0.007090380781085636,0.010024702341419804,0.004962449174802112,
Intel Core i9-7960X x 1,,0.0023596570385934785,,,0.0001685250434531555,0.02132007163556104,,,,,,0.014134709931170109,,,
Intel Core i9-7980XE x 1,0.0008347430620624505,0.06049993727133974,,,0.011261878066276387,0.024246432248443597,0.5773502691896257,0.004142076416539476,,,,,,,
Intel Core i9-9900 x 1,,,,,,,,0.02008760830850875,,,,,,,
