Model and Mult,Multiplier,Brand,process_size,transistors,frequency,tdp,memory_bandwidth,#_of_cores,year,time,launch_price,market,Generalized Performance,Performance,FinanceBench,amg,numpy,hpcg,stockfish,nqueens,linux_kernel,pybench
AMD EPYC 72F3 x 2,2,AMD,7,33200.0,3.7,180,204.8,8.0,2021,14,2468.0,Server/Workstation,2.29375858691716,0.08468571037546802,,,-0.560748932532591,,,,,
AMD EPYC 7302 x 1,1,AMD,7,15200.0,3.0,155,204.8,16.0,2019,12,978.0,Server/Workstation,-2.5937478982015674,-0.9402079304591464,,,,,,,,-0.7682678110280534
AMD EPYC 7302P x 1,1,AMD,7,15200.0,3.0,155,204.8,16.0,2019,12,825.0,Server/Workstation,0.05346562553789434,-0.3850961746645024,-1.0381633801976875,0.7447350553938463,-1.08959306180126,,,0.3184537311185349,,
AMD EPYC 7303 x 2,2,AMD,7,8300.0,2.4,130,204.8,16.0,2023,16,604.0,Server/Workstation,3.3791623723811295,0.3122912267767045,,,,,0.6806646072261238,,,
AMD EPYC 7313 x 1,1,AMD,7,16600.0,3.0,155,204.8,16.0,2021,14,1083.0,Server/Workstation,1.040978633842511,-0.1780180243777564,,,,,,,,
AMD EPYC 7313 x 2,2,AMD,7,16600.0,3.0,155,204.8,16.0,2021,14,1083.0,Server/Workstation,0.6538010816691611,-0.25920785242291333,,,-0.6499271576073111,,,,,-0.5866039326530688
AMD EPYC 7313P x 1,1,AMD,7,16600.0,3.0,155,204.8,16.0,2021,14,913.0,Server/Workstation,1.2528251669201291,-0.13359452023608648,,,-0.6807666059903905,,,,,
AMD EPYC 7343 x 1,1,AMD,7,16600.0,3.2,190,204.8,16.0,2021,14,1565.0,Server/Workstation,2.8006444949994935,0.19097797728171695,,0.904271176466775,,,,,,
AMD EPYC 7343 x 2,2,AMD,7,16600.0,3.2,190,204.8,16.0,2021,14,1565.0,Server/Workstation,4.705355309660288,0.5903894169429258,,1.4928883505695936,,,,,,
AMD EPYC 7351P x 1,1,AMD,14,4800.0,2.4,170,170.6,16.0,2017,10,750.0,Server/Workstation,0.10602507457756069,-0.3740746353068484,,,,,,0.09531017980432521,,
AMD EPYC 7352 x 1,1,AMD,7,15200.0,2.3,155,204.8,24.0,2019,12,1350.0,Server/Workstation,-0.4431851587327498,-0.48924217059603353,,,-1.110001933432467,,,0.6061358035703157,,-0.8046060844668599
AMD EPYC 7373X x 1,1,AMD,7,33200.0,3.05,240,204.8,16.0,2022,15,4185.0,Server/Workstation,1.0409776557358354,-0.17801822948343043,,,,,,,,
AMD EPYC 7373X x 2,2,AMD,7,33200.0,3.05,240,204.8,16.0,2022,15,4185.0,Server/Workstation,3.6642255932377856,0.37206802363239666,,1.6156068336335956,-0.6116246031930448,,,,,
