Model and Mult,Multiplier,Brand,process_size,transistors,frequency,tdp,memory_bandwidth,#_of_cores,year,time,launch_price,market
AMD Ryzen 5 1600X Six-Core x 1,1,AMD,6,,2.8,15,88.0,4.0,2023,16,,Mobile
AMD Ryzen 5 2400G with Radeon Vega x 1,1,AMD,6,,2.8,15,88.0,4.0,2023,16,,Mobile
AMD Ryzen 5 2400G x 1,1,AMD,14,4950.0,3.6,65,46.9,4.0,2018,11,169.0,Desktop
AMD Ryzen 5 2600 Six-Core x 1,1,AMD,6,,2.8,15,88.0,4.0,2023,16,,Mobile
AMD Ryzen 5 2600X Six-Core x 1,1,AMD,6,,2.8,15,88.0,4.0,2023,16,,Mobile
AMD Ryzen 5 3400G x 1,1,AMD,12,4940.0,3.7,65,46.9,4.0,2019,12,149.0,Desktop
AMD Ryzen 5 3500U x 1,1,AMD,12,4940.0,2.1,15,,4.0,2019,12,,Mobile
AMD Ryzen 5 3500X x 1,1,AMD,7,3800.0,3.6,65,51.2,6.0,2019,12,,Desktop
AMD Ryzen 5 3600 x 1,1,AMD,7,3800.0,3.6,65,51.2,6.0,2019,12,199.0,Desktop
AMD Ryzen 5 3600X x 1,1,AMD,7,3800.0,3.8,95,51.2,6.0,2019,12,249.0,Desktop
AMD Ryzen 5 3600XT x 1,1,AMD,7,3800.0,3.8,95,51.2,6.0,2019,12,249.0,Desktop
AMD Ryzen 5 4500U x 1,1,AMD,7,9800.0,2.3,15,51.2,6.0,2020,13,,Mobile
AMD Ryzen 5 5500 x 1,1,AMD,7,10700.0,3.6,65,51.2,6.0,2022,15,159.0,Desktop
AMD Ryzen 5 5500U x 1,1,AMD,7,9800.0,2.1,15,51.2,6.0,2021,14,,Mobile
AMD Ryzen 5 5560U x 1,1,AMD,7,10700.0,2.3,15,51.2,6.0,2021,14,,Mobile
AMD Ryzen 5 5600G x 1,1,AMD,7,10700.0,3.9,65,51.2,6.0,2021,14,259.0,Desktop
AMD Ryzen 5 5600X x 1,1,AMD,7,4150.0,3.7,65,51.2,6.0,2020,13,299.0,Desktop
AMD Ryzen 5 7600 x 1,1,AMD,5,6570.0,3.8,65,83.2,6.0,2023,16,229.0,Desktop
AMD Ryzen 5 7600X x 1,1,AMD,5,6570.0,4.7,105,83.2,6.0,2022,15,299.0,Desktop
AMD Ryzen 5 8400F x 1,1,AMD,4,25000.0,4.2,65,83.2,6.0,2024,17,170.0,Desktop
AMD Ryzen 5 8500G x 1,1,AMD,4,20900.0,3.5,65,83.2,6.0,2024,17,179.0,Mobile
AMD Ryzen 5 8600G x 1,1,AMD,4,25000.0,4.3,65,83.2,6.0,2024,17,229.0,Desktop
AMD Ryzen 5 9600X x 1,1,AMD,4,8315.0,3.9,65,89.6,6.0,2024,17,279.0,Desktop
AMD Ryzen 5 PRO 4650G x 1,1,AMD,7,9800.0,3.7,65,51.2,6.0,2020,13,,Desktop
AMD Ryzen 5 PRO 6650U x 1,1,AMD,6,,2.9,15,76.8,6.0,2022,15,,Mobile
AMD Ryzen 7 1700 Eight-Core x 1,1,AMD,14,4800.0,3.0,65,42.7,8.0,2017,10,329.0,Desktop
AMD Ryzen 7 1700X Eight-Core x 1,1,AMD,14,4800.0,3.4,95,42.7,8.0,2017,10,399.0,Desktop
AMD Ryzen 7 1800X Eight-Core x 1,1,AMD,14,4800.0,3.6,95,42.7,8.0,2017,10,499.0,Desktop
AMD Ryzen 7 2700 Eight-Core x 1,1,AMD,12,4800.0,3.2,65,46.9,8.0,2018,11,299.0,Desktop
AMD Ryzen 7 2700X Eight-Core x 1,1,AMD,12,4800.0,3.7,105,46.9,8.0,2018,11,329.0,Desktop
AMD Ryzen 7 3700X x 1,1,AMD,7,3800.0,3.6,65,51.2,8.0,2019,12,329.0,Desktop
AMD Ryzen 7 3800X x 1,1,AMD,7,3800.0,3.9,105,51.2,8.0,2019,12,399.0,Desktop
AMD Ryzen 7 3800XT x 1,1,AMD,7,3800.0,3.8,105,51.2,8.0,2020,13,399.0,Desktop
AMD Ryzen 7 4700U x 1,1,AMD,7,9800.0,,15,51.2,8.0,2020,13,,Mobile
AMD Ryzen 7 4800U x 1,1,AMD,7,9800.0,,15,51.2,8.0,2020,13,,Mobile
AMD Ryzen 7 5700G x 1,1,AMD,7,10700.0,3.8,65,51.2,8.0,2021,14,,Desktop
AMD Ryzen 7 5700X x 1,1,AMD,7,4150.0,3.4,65,51.2,8.0,2022,15,299.0,Desktop
AMD Ryzen 7 5800H x 1,1,AMD,7,10700.0,3.2,45,68.3,8.0,2021,14,,Mobile
AMD Ryzen 7 5800U x 1,1,AMD,7,10700.0,,15,51.2,8.0,2021,14,,Mobile
AMD Ryzen 7 5800X x 1,1,AMD,7,4150.0,3.8,105,51.2,8.0,2020,13,449.0,Desktop
AMD Ryzen 7 5800X3D x 1,1,AMD,7,8850.0,3.4,105,51.2,8.0,2022,15,449.0,Desktop
AMD Ryzen 7 7700 x 1,1,AMD,5,6570.0,3.8,65,83.2,8.0,2023,16,329.0,Desktop
AMD Ryzen 7 7700X x 1,1,AMD,5,6570.0,4.5,105,83.2,8.0,2022,15,399.0,Desktop
AMD Ryzen 7 7735HS x 1,1,AMD,6,,3.2,35,76.8,8.0,2023,16,,Mobile
AMD Ryzen 7 7800X3D x 1,1,AMD,5,11270.0,4.2,120,83.2,8.0,2023,16,449.0,Desktop
AMD Ryzen 7 7840HS x 1,1,AMD,4,25000.0,3.8,35,89.6,8.0,2023,16,,Mobile
AMD Ryzen 7 7840U x 1,1,AMD,4,25000.0,3.3,28,89.6,8.0,2023,16,,Mobile
AMD Ryzen 7 8700G x 1,1,AMD,4,25000.0,4.2,65,83.2,8.0,2024,17,329.0,Desktop
AMD Ryzen 7 8845HS x 1,1,AMD,4,25000.0,3.8,45,89.6,8.0,2023,16,,Mobile
AMD Ryzen 7 9700X x 1,1,AMD,4,8315.0,3.8,65,89.6,8.0,2024,17,359.0,Desktop
AMD Ryzen 7 9800X3D x 1,1,AMD,4,8315.0,4.7,120,89.6,8.0,2024,17,479.0,Desktop
AMD Ryzen 7 PRO 3700 x 1,1,AMD,7,3800.0,3.6,65,51.2,8.0,2019,12,,Desktop
AMD Ryzen 7 PRO 3700U x 1,1,AMD,12,4940.0,2.3,15,,4.0,2019,12,,Mobile
AMD Ryzen 7 PRO 4750G x 1,1,AMD,7,9800.0,3.6,65,51.2,8.0,2020,13,,Desktop
AMD Ryzen 7 PRO 5850U x 1,1,AMD,7,10700.0,,15,51.2,8.0,2021,14,,Mobile
AMD Ryzen 7 PRO 6850U x 1,1,AMD,6,,2.7,15,76.8,8.0,2022,15,,Mobile
AMD Ryzen 7 PRO 7840U x 1,1,AMD,4,25000.0,3.3,28,89.6,8.0,2024,17,,Server/Workstation
AMD Ryzen 9 3900X x 1,1,AMD,7,7600.0,3.8,105,51.2,12.0,2019,12,499.0,Desktop
AMD Ryzen 9 3900XT x 1,1,AMD,7,7600.0,3.9,105,51.2,12.0,2020,13,499.0,Desktop
AMD Ryzen 9 3950X x 1,1,AMD,7,7600.0,3.5,105,51.2,16.0,2019,12,749.0,Desktop
AMD Ryzen 9 5900HX x 1,1,AMD,7,10700.0,3.3,45,68.3,8.0,2021,14,,Mobile
AMD Ryzen 9 5900X x 1,1,AMD,7,8300.0,3.7,105,51.2,12.0,2020,13,549.0,Desktop
AMD Ryzen 9 5950X x 1,1,AMD,7,8300.0,3.4,105,51.2,16.0,2020,13,799.0,Desktop
AMD Ryzen 9 6900HX x 1,1,AMD,6,,3.3,45,76.8,8.0,2022,15,,Mobile
AMD Ryzen 9 7900 x 1,1,AMD,5,13140.0,3.7,65,83.2,12.0,2023,16,429.0,Desktop
AMD Ryzen 9 7900X x 1,1,AMD,5,13140.0,4.7,170,83.2,12.0,2022,15,549.0,Desktop
AMD Ryzen 9 7900X3D x 1,1,AMD,5,17840.0,4.4,120,83.2,12.0,2023,16,599.0,Desktop
AMD Ryzen 9 7950X x 1,1,AMD,5,13140.0,4.5,170,83.2,16.0,2022,15,699.0,Desktop
AMD Ryzen 9 7950X3D x 1,1,AMD,5,17840.0,4.2,120,83.2,16.0,2023,16,699.0,Desktop
AMD Ryzen 9 9900X x 1,1,AMD,4,16630.0,4.4,120,89.6,12.0,2024,17,499.0,Desktop
AMD Ryzen 9 9900X3D x 1,1,AMD,4,16630.0,4.4,120,89.6,12.0,2025,18,599.0,Desktop
AMD Ryzen 9 9950X x 1,1,AMD,4,16630.0,4.3,170,89.6,16.0,2024,17,649.0,Desktop
AMD Ryzen 9 9950X3D x 1,1,AMD,4,16630.0,4.3,170,89.6,16.0,2025,18,699.0,Desktop
AMD Ryzen 9 PRO 3900 x 1,1,AMD,6,,3.3,45,76.8,8.0,2022,15,,Mobile
AMD Ryzen AI 5 340 x 1,1,AMD,4,,,28,89.6,6.0,2025,18,,Mobile
AMD Ryzen AI 7 PRO 360 x 1,1,AMD,4,,,28,89.6,8.0,2025,18,,Mobile
AMD Ryzen AI 9 365 x 1,1,AMD,4,,,28,89.6,10.0,2024,17,,Mobile
AMD Ryzen AI 9 HX 370 x 1,1,AMD,4,,,28,89.6,12.0,2024,17,,Mobile
AMD Ryzen AI MAX+ PRO 395 x 1,1,AMD,4,,3.0,55,256.0,16.0,2025,18,,Mobile
AMD Ryzen Threadripper 1900X x 1,1,AMD,14,9600.0,3.8,180,85.3,8.0,2017,10,549.0,Desktop
AMD Ryzen Threadripper 1950X x 1,1,AMD,14,9600.0,3.4,180,85.3,16.0,2017,10,999.0,Desktop
AMD Ryzen Threadripper 2920X x 1,1,AMD,12,9600.0,3.5,180,93.9,12.0,2018,11,649.0,Desktop
AMD Ryzen Threadripper 2950X x 1,1,AMD,12,9600.0,3.5,180,93.9,16.0,2018,11,899.0,Desktop
AMD Ryzen Threadripper 2970WX x 1,1,AMD,12,19200.0,3.0,250,93.9,24.0,2018,11,1299.0,Desktop
AMD Ryzen Threadripper 2990WX x 1,1,AMD,12,19200.0,3.0,250,93.9,32.0,2018,11,1799.0,Desktop
AMD Ryzen Threadripper 3960X x 1,1,AMD,7,15200.0,3.8,280,102.4,24.0,2019,12,1399.0,Desktop
AMD Ryzen Threadripper 3970X x 1,1,AMD,7,15200.0,3.7,280,102.4,32.0,2019,12,1999.0,Desktop
AMD Ryzen Threadripper 3990X x 1,1,AMD,7,30400.0,2.9,280,102.4,64.0,2020,13,3990.0,Desktop
AMD Ryzen Threadripper 7970X x 1,1,AMD,5,26280.0,4.0,350,166.4,32.0,2023,16,2499.0,Desktop
AMD Ryzen Threadripper 7980X x 1,1,AMD,5,52560.0,3.2,350,166.4,64.0,2023,16,4999.0,Desktop
AMD Ryzen Threadripper 9970X x 1,1,AMD,4,33260.0,4.0,350,204.8,32.0,2025,18,2499.0,Desktop
AMD Ryzen Threadripper 9980X x 1,1,AMD,4,66520.0,3.2,350,204.8,64.0,2025,18,4999.0,Desktop
AMD Ryzen Threadripper PRO 3975WX x 1,1,AMD,7,15200.0,3.5,280,204.8,32.0,2020,13,2749.0,Desktop
AMD Ryzen Threadripper PRO 5965WX x 1,1,AMD,7,16600.0,3.8,280,204.8,24.0,2022,15,2399.0,Server/Workstation
