,index,Component,Samples,Test,Units,Score,SD
0,0,AMD Ryzen 9 9950X 16-Core,11.0,FinanceBench,ms (Average),25684,40
1,1,AMD RYZEN AI MAX+ 395,5.0,FinanceBench,ms (Average),28695,181
2,2,Intel Core i9-13900K,16.0,FinanceBench,ms (Average),30855,242
3,3,AMD Ryzen 7 7700X 8-Core,9.0,FinanceBench,ms (Average),31891,53
4,4,AMD Ryzen 9 7950X 16-Core,9.0,FinanceBench,ms (Average),31980,608
5,5,Intel Core i9-14900K,6.0,FinanceBench,ms (Average),32485,625
6,6,AMD EPYC 4364P 8-Core,3.0,FinanceBench,ms (Average),32763,82
7,7,AMD Ryzen 9 7900X 12-Core,7.0,FinanceBench,ms (Average),32770,76
8,8,Intel Core i9-12900K,12.0,FinanceBench,ms (Average),33097,1341
9,9,AMD EPYC 4564P 16-Core,7.0,FinanceBench,ms (Average),33235,220
10,10,AMD EPYC 4464P 12-Core,5.0,FinanceBench,ms (Average),33535,23
11,11,AMD EPYC 4584PX 16-Core,7.0,FinanceBench,ms (Average),33971,76
12,12,AMD EPYC 4484PX 12-Core,7.0,FinanceBench,ms (Average),35556,2142
13,13,AMD Ryzen 9 5900X 12-Core,32.0,FinanceBench,ms (Average),40435,849
14,14,AMD Ryzen 5 7600X 6-Core,6.0,FinanceBench,ms (Average),40510,194
15,15,Intel Core i9-11900K,18.0,FinanceBench,ms (Average),40832,1415
16,16,AMD Ryzen 9 5950X 16-Core,50.0,FinanceBench,ms (Average),41062,3421
17,17,AMD Ryzen 7 5800X 8-Core,22.0,FinanceBench,ms (Average),41132,2609
18,18,AMD Ryzen 7 5800X3D 8-Core,15.0,FinanceBench,ms (Average),41672,287
19,20,Intel Core i9-10900K,12.0,FinanceBench,ms (Average),43934,591
20,21,Intel Core i5-13600K,8.0,FinanceBench,ms (Average),46643,2123
21,22,AMD EPYC 4124P 4-Core,5.0,FinanceBench,ms (Average),46994,187
22,23,AMD Ryzen Threadripper 3970X 32-Core,5.0,FinanceBench,ms (Average),47100,69
23,24,AMD Ryzen Threadripper 3990X 64-Core,8.0,FinanceBench,ms (Average),48774,500
24,25,AMD Ryzen 9 3900XT 12-Core,4.0,FinanceBench,ms (Average),48927,109
25,26,Intel Core i5-12600K,11.0,FinanceBench,ms (Average),51155,7490
26,27,Intel Core i7-7900X,3.0,FinanceBench,ms (Average),52528,517
27,28,Intel Core i5-11600K,5.0,FinanceBench,ms (Average),53680,1519
28,29,Intel Core i9-7980XE,5.0,FinanceBench,ms (Average),55718,104
29,30,Intel Core i5-13400,4.0,FinanceBench,ms (Average),55937,597
30,31,AMD Ryzen 7 PRO 5850U,6.0,FinanceBench,ms (Average),56805,234
31,32,AMD Ryzen Threadripper 2990WX 32-Core,4.0,FinanceBench,ms (Average),57608,1174
32,33,AMD Ryzen 7 PRO 6850U,5.0,FinanceBench,ms (Average),60063,6313
33,34,AMD Ryzen 5 3600XT 6-Core,4.0,FinanceBench,ms (Average),64941,742
34,35,AMD EPYC 73F3 16-Core,4.0,FinanceBench,ms (Average),67370,441
35,36,AMD EPYC 75F3 32-Core,7.0,FinanceBench,ms (Average),68414,1118
36,37,AMD Ryzen Threadripper 3960X 24-Core,3.0,FinanceBench,ms (Average),68788,65
37,38,AMD EPYC 74F3 24-Core,4.0,FinanceBench,ms (Average),69774,161
38,40,2 x AMD EPYC 73F3 16-Core,4.0,FinanceBench,ms (Average),69937,124
39,41,Intel Xeon E-2278GEL,4.0,FinanceBench,ms (Average),70943,317
40,42,AMD Ryzen 7 1700 Eight-Core,6.0,FinanceBench,ms (Average),71314,151
41,44,AMD EPYC 7713 64-Core,6.0,FinanceBench,ms (Average),72643,8736
42,45,Intel Core i9-9900KS,3.0,FinanceBench,ms (Average),73862,367
43,46,AMD EPYC 7F52 16-Core,7.0,FinanceBench,ms (Average),76154,923
44,47,Intel Core i9-9900K,3.0,FinanceBench,ms (Average),77199,87
45,48,2 x AMD EPYC 7513 32-Core,4.0,FinanceBench,ms (Average),77915,388
46,49,2 x AMD EPYC 7713 64-Core,6.0,FinanceBench,ms (Average),78723,692
47,50,2 x AMD EPYC 7F52 16-Core,3.0,FinanceBench,ms (Average),79310,686
48,51,2 x AMD EPYC 7763 64-Core,10.0,FinanceBench,ms (Average),80490,1141
49,52,AMD Ryzen 5 4500U,11.0,FinanceBench,ms (Average),80791,3181
50,53,2 x Intel Xeon Gold 6248R,4.0,FinanceBench,ms (Average),81295,213
51,54,Intel Core i7-1280P,3.0,FinanceBench,ms (Average),81520,4163
52,55,AMD EPYC 7542 32-Core,4.0,FinanceBench,ms (Average),87143,392
53,56,AMD EPYC 7742 64-Core,5.0,FinanceBench,ms (Average),87805,432
54,57,Intel Core i7-6700,5.0,FinanceBench,ms (Average),87957,175
55,58,AMD EPYC 7502P 32-Core,5.0,FinanceBench,ms (Average),88718,516
56,59,AMD EPYC 7402P 24-Core,5.0,FinanceBench,ms (Average),88848,477
57,60,Intel Xeon Gold 6258R,3.0,FinanceBench,ms (Average),89643,465
58,61,2 x AMD EPYC 7742 64-Core,10.0,FinanceBench,ms (Average),89852,392
59,62,Intel Core i7-6800K,3.0,FinanceBench,ms (Average),89989,453
60,63,AMD EPYC 7302P 16-Core,5.0,FinanceBench,ms (Average),90061,443
61,64,AMD EPYC 7532 32-Core,5.0,FinanceBench,ms (Average),90302,323
62,65,Intel Xeon Platinum 8280,3.0,FinanceBench,ms (Average),90404,90404
63,66,AMD EPYC 7552 48-Core,5.0,FinanceBench,ms (Average),90619,690
64,68,AMD EPYC 7642 48-Core,4.0,FinanceBench,ms (Average),90864,909
65,69,AMD EPYC 7662 64-Core,5.0,FinanceBench,ms (Average),90891,488
66,70,Intel Xeon E-2388G,7.0,FinanceBench,ms (Average),91475,768
67,71,AMD EPYC 7272 12-Core,5.0,FinanceBench,ms (Average),92517,289
68,72,AMD EPYC 7232P 8-Core,5.0,FinanceBench,ms (Average),92519,207
69,73,2 x Intel Xeon Gold 5220R,7.0,FinanceBench,ms (Average),93091,533
70,74,AMD EPYC 7282 16-Core,5.0,FinanceBench,ms (Average),93233,751
71,75,Intel Xeon Gold 6226R,3.0,FinanceBench,ms (Average),93356,811
72,76,Intel Xeon Gold 5220R,3.0,FinanceBench,ms (Average),94949,601
73,78,AMD Ryzen 7 3800XT 8-Core,5.0,FinanceBench,ms (Average),99023,571
74,79,Intel Core i7-8700K,3.0,FinanceBench,ms (Average),100567,336
75,80,AMD Ryzen 7 PRO 3700 8-Core,3.0,FinanceBench,ms (Average),102799,102799
76,81,AMD Ryzen 9 PRO 3900 12-Core,3.0,FinanceBench,ms (Average),102849,102849
77,82,Intel Xeon E5-1680 v3,3.0,FinanceBench,ms (Average),105955,232
78,83,Intel Core i7-7700K,3.0,FinanceBench,ms (Average),107107,120
79,84,Intel Xeon E-2278G,4.0,FinanceBench,ms (Average),107336,107336
80,85,Intel Core i7-1165G7,8.0,FinanceBench,ms (Average),110141,856
81,86,AMD Ryzen 7 2700 Eight-Core,3.0,FinanceBench,ms (Average),113139,185
82,87,AMD Ryzen Threadripper 2970WX 24-Core,3.0,FinanceBench,ms (Average),115184,8132
83,88,Intel Xeon E5-2687W v3,3.0,FinanceBench,ms (Average),115478,1318
84,89,Intel Core i5-9400F,3.0,FinanceBench,ms (Average),116389,1744
85,90,AMD Ryzen Threadripper 2950X 16-Core,3.0,FinanceBench,ms (Average),118053,791
86,91,Intel Xeon E3-1275 v6,3.0,FinanceBench,ms (Average),120834,222
87,92,AMD EPYC 7601 32-Core,3.0,FinanceBench,ms (Average),122465,969
88,93,Intel Core i7-9750H,4.0,FinanceBench,ms (Average),123495,18281
89,94,Intel Core i7-8565U,6.0,FinanceBench,ms (Average),124115,5945
90,95,2 x AMD EPYC 7601 32-Core,9.0,FinanceBench,ms (Average),127754,3494
91,96,Intel Xeon E3-1245 v5,3.0,FinanceBench,ms (Average),134466,478
92,97,Intel Xeon E3-1280 v5,3.0,FinanceBench,ms (Average),135207,326
93,98,Intel Core i7-1065G7,8.0,FinanceBench,ms (Average),136903,3604
94,99,Intel Core i7-4790K,3.0,FinanceBench,ms (Average),142787,7634
95,100,AMD Ryzen 5 3400G,3.0,FinanceBench,ms (Average),147231,322
96,101,Intel Xeon Silver 4216,6.0,FinanceBench,ms (Average),152263,679
97,102,AMD EPYC 7551 32-Core,3.0,FinanceBench,ms (Average),162098,205
98,103,Intel Celeron G6900,4.0,FinanceBench,ms (Average),182698,35
99,104,Intel Core i7-5775C,3.0,FinanceBench,ms (Average),192259,313
100,105,Intel Xeon E5-2609 v4,3.0,FinanceBench,ms (Average),203957,2284
101,107,Intel Core i7-4600U,3.0,FinanceBench,ms (Average),288715,20698
102,109,2 x Intel Xeon 6980P,22.0,amg,Figure Of Merit (Average),8110403243,777617637
103,110,2 x AMD EPYC 9755 128-Core,30.0,amg,Figure Of Merit (Average),6236738724,103440146
104,111,2 x AMD EPYC 9575F 64-Core,4.0,amg,Figure Of Merit (Average),6118251292,222241584
105,112,2 x AMD EPYC 9655 96-Core,5.0,amg,Figure Of Merit (Average),5966481533,7190502
106,113,2 x AMD EPYC 9965 192-Core,3.0,amg,Figure Of Merit (Average),5829853000,5829853000
107,114,2 x AMD EPYC 9684X 96-Core,17.0,amg,Figure Of Merit (Average),4454792977,411539338
108,115,2 x AMD EPYC 9374F 32-Core,5.0,amg,Figure Of Merit (Average),4295199760,41056407
109,116,2 x AMD EPYC 9554 64-Core,20.0,amg,Figure Of Merit (Average),4254051136,200318498
110,117,2 x AMD EPYC 9384X 32-Core,7.0,amg,Figure Of Merit (Average),4163476714,30522303
111,118,Intel Xeon 6980P,18.0,amg,Figure Of Merit (Average),4017497092,531193476
112,119,2 x AMD EPYC 9184X 16-Core,4.0,amg,Figure Of Merit (Average),3805841500,28037861
113,120,2 x INTEL XEON PLATINUM 8592+,13.0,amg,Figure Of Merit (Average),3661048872,69090165
114,121,AMD EPYC 9755 128-Core,14.0,amg,Figure Of Merit (Average),3176911820,10038433
115,122,AMD EPYC 9575F 64-Core,5.0,amg,Figure Of Merit (Average),3169647350,58816125
116,123,2 x Intel Xeon Platinum 8490H,21.0,amg,Figure Of Merit (Average),3129521492,37072405
117,124,2 x Intel Xeon Platinum 8468,3.0,amg,Figure Of Merit (Average),3100295222,2484531
118,125,AMD EPYC 9655 96-Core,8.0,amg,Figure Of Merit (Average),3081358334,4937562
119,126,AMD EPYC 9965 192-Core,4.0,amg,Figure Of Merit (Average),2976345000,2976345000
120,127,2 x Intel Xeon Platinum 8462Y+,3.0,amg,Figure Of Merit (Average),2934523250,83986278
121,128,AMD EPYC 9655P 96-Core,14.0,amg,Figure Of Merit (Average),2879738476,288940622
122,129,2 x Intel Xeon Gold 6442Y,3.0,amg,Figure Of Merit (Average),2751978867,104639021
123,130,AMD EPYC 9845 160-Core,9.0,amg,Figure Of Merit (Average),2504185778,5914618
124,131,AMD EPYC 9684X 96-Core,13.0,amg,Figure Of Merit (Average),2371771308,23961740
125,132,AMD EPYC 9374F 32-Core,4.0,amg,Figure Of Merit (Average),2347293400,2240800
126,133,AMD EPYC 9554 64-Core,14.0,amg,Figure Of Merit (Average),2340931881,19425062
127,134,AMD EPYC 9654 96-Core,18.0,amg,Figure Of Merit (Average),2313470685,25109827
128,135,AMD EPYC 9754 128-Core,10.0,amg,Figure Of Merit (Average),2281132167,12986170
129,136,2 x Intel Xeon Platinum 8380,39.0,amg,Figure Of Merit (Average),2078694926,88666899
130,137,2 x Intel Xeon Platinum 8362,9.0,amg,Figure Of Merit (Average),2058083667,14617413
131,139,2 x AMD EPYC 7773X 64-Core,39.0,amg,Figure Of Merit (Average),2006012444,24074437
132,140,2 x AMD EPYC 7573X 32-Core,5.0,amg,Figure Of Merit (Average),1955465000,10517622
133,141,2 x AMD EPYC 7763 64-Core,34.0,amg,Figure Of Merit (Average),1926811140,20513869
134,142,2 x AMD EPYC 7713 64-Core,30.0,amg,Figure Of Merit (Average),1922412089,13820700
135,143,2 x AMD EPYC 7663 56-Core,3.0,amg,Figure Of Merit (Average),1918356667,1918356667
136,144,2 x AMD EPYC 74F3 24-Core,4.0,amg,Figure Of Merit (Average),1901728813,874625
137,145,2 x Intel Xeon Gold 6342,6.0,amg,Figure Of Merit (Average),1898265875,12917094
138,146,2 x AMD EPYC 7543 32-Core,5.0,amg,Figure Of Merit (Average),1889123467,8876157
139,147,2 x AMD EPYC 7373X 16-Core,3.0,amg,Figure Of Merit (Average),1885426556,61290540
140,150,INTEL XEON PLATINUM 8592+,13.0,amg,Figure Of Merit (Average),1827466282,16577048
141,153,2 x AMD EPYC 75F3 32-Core,19.0,amg,Figure Of Merit (Average),1769544348,227817578
142,156,AMD Ryzen Threadripper PRO 7995WX 96-Cores,9.0,amg,Figure Of Merit (Average),1686991185,38978069
143,157,2 x AMD EPYC 7443 24-Core,5.0,amg,Figure Of Merit (Average),1674618933,17565603
144,158,2 x AMD EPYC 7343 16-Core,7.0,amg,Figure Of Merit (Average),1667683607,18121518
145,159,2 x Intel Xeon Gold 6346,6.0,amg,Figure Of Merit (Average),1658642167,13757287
146,160,2 x AMD EPYC 7551 32-Core,19.0,amg,Figure Of Merit (Average),1651081596,101992233
147,161,Intel Xeon Platinum 8468,4.0,amg,Figure Of Merit (Average),1615399750,9676909
148,162,Intel Xeon Platinum 8490H,16.0,amg,Figure Of Merit (Average),1610420021,6213893
149,163,Intel Xeon Max 9480,4.0,amg,Figure Of Merit (Average),1599463667,1697795
150,164,2 x AMD EPYC 9534 64-Core,4.0,amg,Figure Of Merit (Average),1598723100,64292986
151,165,2 x AMD EPYC 7F52 16-Core,3.0,amg,Figure Of Merit (Average),1593214763,12854437
152,166,Intel Xeon Platinum 8471N,3.0,amg,Figure Of Merit (Average),1591542111,9079603
153,167,Intel Xeon Platinum 8462Y+,3.0,amg,Figure Of Merit (Average),1573718583,10850144
154,168,Intel Xeon Gold 6442Y,3.0,amg,Figure Of Merit (Average),1541901267,1356311
155,170,2 x AMD EPYC 7F72 24-Core,14.0,amg,Figure Of Merit (Average),1445737090,7125391
156,171,2 x Intel Xeon Platinum 8280,22.0,amg,Figure Of Merit (Average),1395595856,178746938
157,173,2 x Intel Xeon Gold 5220R,6.0,amg,Figure Of Merit (Average),1226897182,87678589
158,174,AMD Ryzen Threadripper PRO 9995WX 96-Cores,5.0,amg,Figure Of Merit (Average),1218982400,1625620
159,175,AMD EPYC 8534P 64-Core,8.0,amg,Figure Of Merit (Average),1152834667,1941482
160,176,AMD EPYC 8534PN 64-Core,8.0,amg,Figure Of Merit (Average),1150494125,2271037
161,177,AMD Ryzen Threadripper 9970X 32-Cores,4.0,amg,Figure Of Merit (Average),1077579638,116060225
162,178,AMD EPYC 7573X 32-Core,6.0,amg,Figure Of Merit (Average),1071124667,2856167
163,179,Intel Xeon Platinum 8362,3.0,amg,Figure Of Merit (Average),1068506889,1213398
164,181,AMD EPYC 7773X 64-Core,22.0,amg,Figure Of Merit (Average),1055753318,1360749
165,182,AMD EPYC 74F3 24-Core,6.0,amg,Figure Of Merit (Average),1043100667,1738355
166,183,Intel Xeon Platinum 8380,29.0,amg,Figure Of Merit (Average),1041520127,103331528
167,184,Intel Xeon Gold 6342,6.0,amg,Figure Of Merit (Average),1035442708,2109099
168,185,AMD EPYC 7543 32-Core,4.0,amg,Figure Of Merit (Average),1024661834,800015
169,186,AMD EPYC 7763 64-Core,33.0,amg,Figure Of Merit (Average),1013650660,7013499
170,187,AMD EPYC 7713 64-Core,21.0,amg,Figure Of Merit (Average),983752654,97252359
171,188,AMD EPYC 7343 16-Core,3.0,amg,Figure Of Merit (Average),925721753,3799415
172,189,AMD EPYC 7443 24-Core,4.0,amg,Figure Of Merit (Average),923559988,3137451
173,190,Intel Xeon Gold 6346,5.0,amg,Figure Of Merit (Average),912681524,1630288
174,191,AMD EPYC 7532 32-Core,5.0,amg,Figure Of Merit (Average),912271088,6123296
175,192,AMD EPYC 75F3 32-Core,14.0,amg,Figure Of Merit (Average),900547436,131805982
176,193,AMD Ryzen Threadripper 7970X 32-Cores,6.0,amg,Figure Of Merit (Average),897847000,897847000
177,194,AMD EPYC 7642 48-Core,4.0,amg,Figure Of Merit (Average),893810269,3122871
178,195,AMD Ryzen Threadripper 7980X 64-Cores,8.0,amg,Figure Of Merit (Average),890161500,19489176
179,196,AMD EPYC 7662 64-Core,5.0,amg,Figure Of Merit (Average),886573757,6347207
180,197,AMD EPYC 7742 64-Core,5.0,amg,Figure Of Merit (Average),886304293,7265165
181,198,AMD EPYC 7702 64-Core,9.0,amg,Figure Of Merit (Average),871440575,10980543
182,199,AMD EPYC 7552 48-Core,5.0,amg,Figure Of Merit (Average),857923043,2302352
183,200,AMD EPYC 7601 32-Core,3.0,amg,Figure Of Merit (Average),841734822,11904838
184,201,AMD EPYC 7302P 16-Core,5.0,amg,Figure Of Merit (Average),789214057,2117962
185,202,2 x Intel Xeon E5-2699 v4,7.0,amg,Figure Of Merit (Average),788813800,3032651
186,203,AMD EPYC 7F52 16-Core,7.0,amg,Figure Of Merit (Average),785101715,96985693
187,204,AMD EPYC 7542 32-Core,4.0,amg,Figure Of Merit (Average),776464681,4270427
188,205,AMD EPYC 7502P 32-Core,5.0,amg,Figure Of Merit (Average),774614677,692906
189,207,Intel Xeon Gold 6258R,3.0,amg,Figure Of Merit (Average),773379211,4459587
190,209,AMD EPYC 7402P 24-Core,7.0,amg,Figure Of Merit (Average),739766613,70412636
191,210,Intel Xeon Platinum 8280,12.0,amg,Figure Of Merit (Average),726813203,82320421
192,211,2 x Intel Xeon E5-2696 v4,6.0,amg,Figure Of Merit (Average),699166533,14827096
193,212,Intel Xeon Gold 5220R,3.0,amg,Figure Of Merit (Average),696206914,2006432
194,213,Intel Xeon Gold 6226R,3.0,amg,Figure Of Merit (Average),692338967,2328970
195,215,Intel Xeon Silver 4216,3.0,amg,Figure Of Merit (Average),595098978,5763872
196,216,Intel Core Ultra 9 285K,11.0,amg,Figure Of Merit (Average),584077136,53810010
197,218,AMD Ryzen Threadripper 3970X 32-Core,4.0,amg,Figure Of Merit (Average),554862500,193303
198,219,2 x Intel Xeon Gold 5218,34.0,amg,Figure Of Merit (Average),485437095,24632255
199,220,Intel Core i9-7980XE,5.0,amg,Figure Of Merit (Average),478208285,64692960
200,221,AMD Ryzen Threadripper 3990X 64-Core,10.0,amg,Figure Of Merit (Average),468445860,31696926
201,222,AMD Ryzen 9 9900X3D 12-Core,4.0,amg,Figure Of Merit (Average),460008875,806859
202,223,AMD EPYC 7272 12-Core,5.0,amg,Figure Of Merit (Average),458771061,2047592
203,224,AMD EPYC 7282 16-Core,5.0,amg,Figure Of Merit (Average),456856282,2449945
204,225,Intel Core i9-7960X,4.0,amg,Figure Of Merit (Average),454205625,2143539
205,226,AMD Ryzen 9 9950X3D 16-Core,9.0,amg,Figure Of Merit (Average),450387259,22659171
206,227,AMD EPYC 7232P 8-Core,5.0,amg,Figure Of Merit (Average),450276393,804835
207,228,Intel Core i3-14100,3.0,amg,Figure Of Merit (Average),447645786,447645786
208,229,Intel Core i9-13900K,16.0,amg,Figure Of Merit (Average),444150617,17152032
209,230,Intel Core i7-7900X,3.0,amg,Figure Of Merit (Average),433644181,3444474
210,231,AMD Ryzen 7 9800X3D 8-Core,8.0,amg,Figure Of Merit (Average),421386696,13156199
211,232,Intel Core i9-10980XE,4.0,amg,Figure Of Merit (Average),413356700,1874057
212,233,AMD Ryzen Threadripper 3960X 24-Core,4.0,amg,Figure Of Merit (Average),406450667,1312887
213,234,AMD Ryzen 9 7950X 16-Core,20.0,amg,Figure Of Merit (Average),405331805,28901646
214,235,AMD Ryzen 5 8600G,4.0,amg,Figure Of Merit (Average),404794220,404794220
215,236,AMD Ryzen 5 8500G,3.0,amg,Figure Of Merit (Average),401112300,11481592
216,237,AMD Ryzen 7 7800X3D 8-Core,12.0,amg,Figure Of Merit (Average),394799253,22063221
217,238,AMD Ryzen 9 7900X3D 12-Core,10.0,amg,Figure Of Merit (Average),393335117,26797084
218,239,AMD Ryzen 9 7900X 12-Core,22.0,amg,Figure Of Merit (Average),393301404,27155922
219,240,AMD Ryzen 9 7950X3D 16-Core,14.0,amg,Figure Of Merit (Average),392986900,39994978
220,241,AMD Ryzen 9 7900 12-Core,15.0,amg,Figure Of Merit (Average),391662358,31643941
221,242,AMD Ryzen 5 7600 6-Core,10.0,amg,Figure Of Merit (Average),387983100,14704220
222,243,AMD Ryzen Threadripper 2950X 16-Core,4.0,amg,Figure Of Merit (Average),376904534,1198020
223,244,AMD Ryzen 7 7700X 8-Core,19.0,amg,Figure Of Merit (Average),374766262,15149367
224,245,Intel Core i5-13600K,7.0,amg,Figure Of Merit (Average),373618643,6351894
225,246,AMD Ryzen 7 7700 8-Core,15.0,amg,Figure Of Merit (Average),373335356,14752112
226,247,AMD Ryzen Threadripper 2990WX 32-Core,8.0,amg,Figure Of Merit (Average),366725106,54258227
227,248,AMD Ryzen 5 7600X 6-Core,14.0,amg,Figure Of Merit (Average),366316733,16874437
228,249,Intel Core i5-14500,3.0,amg,Figure Of Merit (Average),350297633,350297633
229,250,Intel Core i5-13400,4.0,amg,Figure Of Merit (Average),345373517,1616034
230,251,Intel Core i5-12600K,4.0,amg,Figure Of Merit (Average),342263538,28246425
231,252,Intel Xeon E5-1680 v3,3.0,amg,Figure Of Merit (Average),333448456,176310
232,253,AMD Ryzen 9 6900HX,3.0,amg,Figure Of Merit (Average),308020200,631319
233,254,Intel Core i9-12900H,4.0,amg,Figure Of Merit (Average),306695325,1548785
234,256,Intel Xeon E5-2687W v3,3.0,amg,Figure Of Merit (Average),303879044,1144788
235,257,Intel Core i7-12700K,4.0,amg,Figure Of Merit (Average),302273333,3220019
236,259,Intel Core i7-1165G7,10.0,amg,Figure Of Merit (Average),285776585,26053001
237,260,Intel Core i9-11980HK,3.0,amg,Figure Of Merit (Average),282955475,7057385
238,261,Intel Core i9-9900KS,3.0,amg,Figure Of Merit (Average),275865733,148574
239,262,Intel Core i7-6800K,4.0,amg,Figure Of Merit (Average),273494250,1950922
240,263,Intel Core i7-11700K,14.0,amg,Figure Of Merit (Average),270465419,21106004
241,264,Intel Xeon E5-2609 v4,3.0,amg,Figure Of Merit (Average),265420089,666649
242,265,AMD Ryzen 7 1700 Eight-Core,10.0,amg,Figure Of Merit (Average),260376920,14780585
243,266,Intel Core i7-11700B,4.0,amg,Figure Of Merit (Average),259336075,20258688
244,267,AMD Ryzen 7 1800X Eight-Core,4.0,amg,Figure Of Merit (Average),258903583,419646
245,269,Intel Core i7-1065G7,4.0,amg,Figure Of Merit (Average),254573129,7003656
246,270,Intel Core i5-10600K,6.0,amg,Figure Of Merit (Average),250416592,20415434
247,271,Intel Core i7-8086K,4.0,amg,Figure Of Merit (Average),249503500,791478
248,272,Intel Core i5-8400,4.0,amg,Figure Of Merit (Average),246553900,716069
249,273,AMD Ryzen 5 5600G,6.0,amg,Figure Of Merit (Average),244561465,27068141
250,274,AMD Ryzen 7 2700 Eight-Core,3.0,amg,Figure Of Merit (Average),243082778,266992
251,275,AMD Ryzen 9 5900X 12-Core,25.0,amg,Figure Of Merit (Average),242102146,30313025
252,276,AMD Ryzen 5 5600X 6-Core,12.0,amg,Figure Of Merit (Average),240743986,5554041
253,277,AMD Ryzen 7 5800X3D 8-Core,24.0,amg,Figure Of Merit (Average),238727821,10298232
254,278,Intel Core i7-7740K,3.0,amg,Figure Of Merit (Average),238007622,162996
255,279,AMD Ryzen 3 1300X,4.0,amg,Figure Of Merit (Average),237986767,418006
256,280,Intel Core i9-9900K,3.0,amg,Figure Of Merit (Average),237654867,751457
257,281,Intel Core i7-7700K,3.0,amg,Figure Of Merit (Average),235333311,2079203
258,282,AMD Ryzen 3 3300X 4-Core,4.0,amg,Figure Of Merit (Average),233163734,813752
259,283,AMD Ryzen 7 5800X 8-Core,41.0,amg,Figure Of Merit (Average),231005706,18313780
260,284,Intel Core i7-8700K,4.0,amg,Figure Of Merit (Average),229241400,14297992
261,285,AMD Ryzen 5 PRO 6650U,3.0,amg,Figure Of Merit (Average),229130778,2743104
262,286,AMD Ryzen 9 3900X 12-Core,6.0,amg,Figure Of Merit (Average),228039844,3571727
263,287,Intel Core i7-8809G,3.0,amg,Figure Of Merit (Average),227477644,679877
264,288,AMD Ryzen 9 3900XT 12-Core,5.0,amg,Figure Of Merit (Average),226168327,1992356
265,289,Intel Core i7-9750H,3.0,amg,Figure Of Merit (Average),223806567,721385
266,290,AMD Ryzen 7 2700X Eight-Core,8.0,amg,Figure Of Merit (Average),222757938,27025525
267,291,AMD Ryzen 5 3600XT 6-Core,4.0,amg,Figure Of Merit (Average),220614875,2185702
268,292,AMD Ryzen 7 3700X 8-Core,8.0,amg,Figure Of Merit (Average),220546108,28283302
269,293,Intel Core i7-10700T,6.0,amg,Figure Of Merit (Average),220091603,4751741
270,294,Intel Xeon E-2288G,5.0,amg,Figure Of Merit (Average),219070386,1261759
271,295,AMD Ryzen 3 2200G,7.0,amg,Figure Of Merit (Average),216598900,2523539
272,296,Intel Core i9-10900K,9.0,amg,Figure Of Merit (Average),216473059,13476639
273,298,AMD Ryzen 5 3400G,3.0,amg,Figure Of Merit (Average),207741622,440764
274,299,Intel Core i9-10885H,3.0,amg,Figure Of Merit (Average),207595755,322435
275,300,Intel Core i5-9400F,3.0,amg,Figure Of Merit (Average),204743878,442892
276,301,AMD Ryzen 9 3950X 16-Core,7.0,amg,Figure Of Merit (Average),203672024,5710117
277,302,AMD Ryzen 5 2400G,4.0,amg,Figure Of Merit (Average),203569750,434216
278,303,Intel Core i7-7700,3.0,amg,Figure Of Merit (Average),198146522,4724594
279,304,Intel Xeon E3-1275 v6,3.0,amg,Figure Of Merit (Average),197562133,381888
280,305,Intel Xeon E-2336,5.0,amg,Figure Of Merit (Average),192786180,220110
281,306,Intel Xeon E-2388G,10.0,amg,Figure Of Merit (Average),191352370,983967
282,307,AMD Ryzen 7 3800XT 8-Core,3.0,amg,Figure Of Merit (Average),190316985,7464124
283,308,AMD Ryzen 5 4500U,3.0,amg,Figure Of Merit (Average),187221278,241355
284,309,Intel Core i7-5960X,3.0,amg,Figure Of Merit (Average),186625533,406872
285,310,Intel Xeon E3-1245 v5,3.0,amg,Figure Of Merit (Average),183000056,50045
286,311,Intel Xeon E3-1260L v5,4.0,amg,Figure Of Merit (Average),180621467,59054
287,312,Intel Core i5-6500,3.0,amg,Figure Of Merit (Average),178855800,428648
288,313,Intel Core i3-10100,3.0,amg,Figure Of Merit (Average),178081322,6298317
289,314,Intel Xeon E3-1280 v5,3.0,amg,Figure Of Merit (Average),173357211,42333
290,315,AMD Custom APU 0405,4.0,amg,Figure Of Merit (Average),168347308,1333772
291,316,Intel Core i5-6260U,5.0,amg,Figure Of Merit (Average),167142723,2465353
292,317,Intel Core i7-8565U,3.0,amg,Figure Of Merit (Average),166479222,5596840
293,318,Intel Xeon E3-1235L v5,3.0,amg,Figure Of Merit (Average),162782978,124829
294,319,Intel Xeon E3-1240 v5,3.0,amg,Figure Of Merit (Average),160379011,969099
295,320,Intel Core i7-5775C,4.0,amg,Figure Of Merit (Average),160221900,11434883
296,321,Intel Core i7-8550U,3.0,amg,Figure Of Merit (Average),155193500,61037
297,322,Intel Xeon E3-1270 v5,3.0,amg,Figure Of Merit (Average),151527800,547494
298,323,Intel Xeon E3-1231 v3,4.0,amg,Figure Of Merit (Average),146144883,129452
299,324,Intel Core i7-4790,3.0,amg,Figure Of Merit (Average),144264567,1074092
300,325,Intel Core i7-4790K,3.0,amg,Figure Of Merit (Average),143393233,1287809
301,326,Intel Core i5-3470,3.0,amg,Figure Of Merit (Average),137379311,65128
302,327,Intel Core i7-4770K,3.0,amg,Figure Of Merit (Average),136876555,1522236
